USER: 1
Job J2	2.625	75
Job S1	3	73.75
Job C2	3.375	76.25
Job D2	3.33333333333333	73.3333333333333
Job Q1	3	75.7142857142857
Job I2	3.6	76
Job K1	1.5	70
Job D1	3.66666666666667	78.3333333333333
Job W2	2	85
Job H2	2.625	73.75
AVGS TOTAL	2.8725	75.7130952380952

USER: 2
Job X1	4	73.75
Job J2	3	78.3333333333333
Job H2	3.4	76
Job N2	3.8	78
Job Z1	3.6	74
Job R1	3	78
Job F2	4.5	85
Job S1	4.5	70
Job U1	2.75	77.5
Job W2	2.75	77.5
AVGS TOTAL	3.53	76.8083333333333

USER: 3
Job G2	4.5	85
Job N1	3	72
Job T2	4	72.5
Job X2	2.83333333333333	75
Job U2	3.75	75
Job Z1	3.66666666666667	73.3333333333333
Job R2	3	78.75
Job R1	3.2	74
Job X1	3.16666666666667	75
Job V2	3.33333333333333	83.3333333333333
AVGS TOTAL	3.445	76.3916666666667

USER: 4
Job S1	3.66666666666667	75
Job J2	4	78.3333333333333
Job U1	3.18181818181818	74.5454545454545
Job M1	3.75	77.5
Job Q1	3.66666666666667	78.3333333333333
Job P1	3.57142857142857	74.2857142857143
Job E1	3.83333333333333	76.6666666666667
Job L1	2.2	72
Job C2	2.85714285714286	80
Job M2	4.5	77.5
AVGS TOTAL	3.52270562770563	76.4164502164502

USER: 5
Job R1	3.5	76.6666666666667
Job X2	3.33333333333333	80
Job N1	3.4	74
Job U1	2.85714285714286	71.4285714285714
Job R2	3	90
Job F2	2.5	80
Job C1	3	80
Job S2	3.16666666666667	71.6666666666667
Job K2	3.66666666666667	80
Job V2	5	80
AVGS TOTAL	3.34238095238095	78.3761904761905

USER: 6
Job B2	3.16666666666667	76.6666666666667
Job E2	4.33333333333333	76.6666666666667
Job S2	3	78
Job F1	3	75.7142857142857
Job G1	2.88888888888889	74.4444444444444
Job N1	3.3	77
Job U1	2.9	77
Job E1	4.2	78
Job X2	2.9	73
Job C1	2.71428571428571	77.1428571428571
AVGS TOTAL	3.24031746031746	76.3634920634921

USER: 7
Job J2	3	80
Job W2	4.5	90
Job S1	3	70
Job D2	4.33333333333333	73.3333333333333
Job I2	3.25	80
Job N2	4.33333333333333	90
Job B2	2.5	80
Job Q1	2.66666666666667	80
Job M1	5	100
Job E2	2.8	80
AVGS TOTAL	3.53833333333333	82.3333333333333

USER: 8
Job F2	2	80
Job I2	3	85
Job P2	2.5	85
Job G2	3	83.3333333333333
Job W2	3	83.3333333333333
Job K2	5	100
Job N2	4	100
Job W1	1.6	84
Job 	0	0
Job 	0	0
AVGS TOTAL	0	0

USER: 9
Job K2	3	77.5
Job L2	3.875	76.25
Job I2	2.4	76
Job Y1	3.77777777777778	77.7777777777778
Job D2	2.75	70
Job Q1	2.5	78.3333333333333
Job W1	3.33333333333333	77.7777777777778
Job F2	4	80
Job Z1	2.75	80
Job N2	2.33333333333333	83.3333333333333
AVGS TOTAL	3.07194444444444	77.6972222222222

USER: 10
Job B2	3	85
Job N1	3.71428571428571	77.1428571428571
Job G1	3.5	75
